SERIES;PRODUCCIÓN DE TURISMOS;EXPORTACIONES DE TURISMOS;MATRICULACIONES DE TURISMOS.  TOTAL
196001;-;-;3360,0000000000000000
196002;-;-;4385,0000000000000000
196003;-;-;4055,0000000000000000
196004;-;-;5380,0000000000000000
196005;-;-;6309,0000000000000000
196006;-;-;4024,0000000000000000
196007;-;-;4371,0000000000000000
196008;-;-;3884,0000000000000000
196009;-;-;2903,0000000000000000
196010;-;-;3732,0000000000000000
196011;-;-;3662,0000000000000000
196012;-;-;4189,0000000000000000
196101;-;-;5062,0000000000000000
196102;-;-;5304,0000000000000000
196103;-;-;5886,0000000000000000
196104;-;-;4978,0000000000000000
196105;-;-;4743,0000000000000000
196106;-;-;4457,0000000000000000
196107;-;-;6418,0000000000000000
196108;-;-;6433,0000000000000000
196109;-;-;5562,0000000000000000
196110;-;-;7143,0000000000000000
196111;-;-;6770,0000000000000000
196112;-;-;6370,0000000000000000
196201;-;-;7345,0000000000000000
196202;-;-;6730,0000000000000000
196203;-;-;7294,0000000000000000
196204;-;-;6564,0000000000000000
196205;-;-;7494,0000000000000000
196206;-;-;6840,0000000000000000
196207;-;-;6962,0000000000000000
196208;-;-;5432,0000000000000000
196209;-;-;5253,0000000000000000
196210;-;-;8334,0000000000000000
196211;-;-;8163,0000000000000000
196212;-;-;6656,0000000000000000
196301;-;-;8026,0000000000000000
196302;-;-;7674,0000000000000000
196303;-;-;7914,0000000000000000
196304;-;-;8461,0000000000000000
196305;-;-;7876,0000000000000000
196306;-;-;7083,0000000000000000
196307;-;-;7958,0000000000000000
196308;-;-;4842,0000000000000000
196309;-;-;5003,0000000000000000
196310;-;-;9201,0000000000000000
196311;-;-;8667,0000000000000000
196312;-;-;8490,0000000000000000
196401;-;-;8454,0000000000000000
196402;-;-;9542,0000000000000000
196403;-;-;10342,0000000000000000
196404;-;-;10577,0000000000000000
196405;-;-;9588,0000000000000000
196406;-;-;11529,0000000000000000
196407;-;-;11686,0000000000000000
196408;-;-;7915,0000000000000000
196409;-;-;9028,0000000000000000
196410;-;-;12870,0000000000000000
196411;-;-;12857,0000000000000000
196412;-;-;12579,0000000000000000
196501;-;-;10223,0000000000000000
196502;-;-;12107,0000000000000000
196503;-;-;13982,0000000000000000
196504;-;-;13091,0000000000000000
196505;-;-;13424,0000000000000000
196506;-;-;14416,0000000000000000
196507;-;-;16124,0000000000000000
196508;-;-;8788,0000000000000000
196509;-;-;11619,0000000000000000
196510;-;-;14401,0000000000000000
196511;-;-;14991,0000000000000000
196512;-;-;16126,0000000000000000
196601;-;-;13481,0000000000000000
196602;-;-;15829,0000000000000000
196603;-;-;19882,0000000000000000
196604;-;-;18281,0000000000000000
196605;-;-;22561,0000000000000000
196606;-;-;23443,0000000000000000
196607;-;-;24040,0000000000000000
196608;-;-;18604,0000000000000000
196609;-;-;18903,0000000000000000
196610;-;-;24107,0000000000000000
196611;-;-;25655,0000000000000000
196612;-;-;25887,0000000000000000
196701;-;-;22285,0000000000000000
196702;-;-;24544,0000000000000000
196703;-;-;22479,0000000000000000
196704;-;-;27053,0000000000000000
196705;-;-;25580,0000000000000000
196706;-;-;27118,0000000000000000
196707;-;-;25351,0000000000000000
196708;-;-;15511,0000000000000000
196709;-;-;22249,0000000000000000
196710;-;-;23766,0000000000000000
196711;-;-;24293,0000000000000000
196712;-;-;24798,0000000000000000
196801;-;-;20063,0000000000000000
196802;-;-;22656,0000000000000000
196803;-;-;27626,0000000000000000
196804;-;-;27485,0000000000000000
196805;-;-;28802,0000000000000000
196806;-;-;27830,0000000000000000
196807;-;-;31907,0000000000000000
196808;-;-;20079,0000000000000000
196809;-;-;22370,0000000000000000
196810;-;-;28899,0000000000000000
196811;-;-;26350,0000000000000000
196812;-;-;25813,0000000000000000
196901;-;-;27069,0000000000000000
196902;-;-;27477,0000000000000000
196903;-;-;35830,0000000000000000
196904;-;-;32323,0000000000000000
196905;-;-;37033,0000000000000000
196906;-;-;37990,0000000000000000
196907;-;-;38091,0000000000000000
196908;-;-;25849,0000000000000000
196909;-;-;24251,0000000000000000
196910;-;-;35118,0000000000000000
196911;-;-;28527,0000000000000000
196912;-;-;28209,0000000000000000
197001;-;-;29983,0000000000000000
197002;-;-;37186,0000000000000000
197003;-;-;39778,0000000000000000
197004;-;-;41632,0000000000000000
197005;-;-;36644,0000000000000000
197006;-;-;38369,0000000000000000
197007;-;-;40531,0000000000000000
197008;-;-;28818,0000000000000000
197009;-;-;26845,0000000000000000
197010;-;-;29451,0000000000000000
197011;-;-;25121,0000000000000000
197012;-;-;24823,0000000000000000
197101;-;-;28835,0000000000000000
197102;-;-;33928,0000000000000000
197103;-;-;43269,0000000000000000
197104;-;-;40728,0000000000000000
197105;-;-;41142,0000000000000000
197106;-;-;44976,0000000000000000
197107;-;-;45667,0000000000000000
197108;-;-;30188,0000000000000000
197109;-;-;29671,0000000000000000
197110;-;-;32596,0000000000000000
197111;-;-;32204,0000000000000000
197112;-;-;29863,0000000000000000
197201;-;-;31966,0000000000000000
197202;-;-;38410,0000000000000000
197203;-;-;50407,0000000000000000
197204;-;-;41217,0000000000000000
197205;-;-;44541,0000000000000000
197206;-;-;49637,0000000000000000
197207;-;-;49698,0000000000000000
197208;-;-;34274,0000000000000000
197209;-;-;37535,0000000000000000
197210;-;-;42416,0000000000000000
197211;-;-;42034,0000000000000000
197212;-;-;44564,0000000000000000
197301;-;-;50915,0000000000000000
197302;-;-;44933,0000000000000000
197303;-;-;57709,0000000000000000
197304;-;-;50636,0000000000000000
197305;-;-;49977,0000000000000000
197306;-;-;53382,0000000000000000
197307;-;-;51981,0000000000000000
197308;-;-;33617,0000000000000000
197309;-;-;42935,0000000000000000
197310;-;-;54794,0000000000000000
197311;-;-;54565,0000000000000000
197312;-;-;49732,0000000000000000
197401;-;-;47760,0000000000000000
197402;-;-;47654,0000000000000000
197403;-;-;59778,0000000000000000
197404;-;-;50254,0000000000000000
197405;-;-;49308,0000000000000000
197406;-;-;54737,0000000000000000
197407;-;-;61003,0000000000000000
197408;-;-;37653,0000000000000000
197409;-;-;40370,0000000000000000
197410;-;-;44303,0000000000000000
197411;-;-;42969,0000000000000000
197412;-;-;49934,0000000000000000
197501;-;-;43948,0000000000000000
197502;-;-;47214,0000000000000000
197503;-;-;46394,0000000000000000
197504;-;-;51488,0000000000000000
197505;-;-;43658,0000000000000000
197506;-;-;52136,0000000000000000
197507;-;-;61981,0000000000000000
197508;-;-;40590,0000000000000000
197509;-;-;35968,0000000000000000
197510;-;-;50693,0000000000000000
197511;-;-;48517,0000000000000000
197512;-;-;49601,0000000000000000
197601;-;-;49761,0000000000000000
197602;-;-;42762,0000000000000000
197603;-;-;59650,0000000000000000
197604;-;-;58365,0000000000000000
197605;-;-;56900,0000000000000000
197606;-;-;52200,0000000000000000
197607;-;-;63506,0000000000000000
197608;-;-;30258,0000000000000000
197609;-;-;43093,0000000000000000
197610;-;-;53449,0000000000000000
197611;-;-;53330,0000000000000000
197612;-;-;56403,0000000000000000
197701;-;-;49976,0000000000000000
197702;-;-;59221,0000000000000000
197703;-;-;69055,0000000000000000
197704;-;-;59554,0000000000000000
197705;-;-;64926,0000000000000000
197706;-;-;63592,0000000000000000
197707;-;-;65377,0000000000000000
197708;-;-;37467,0000000000000000
197709;-;-;46702,0000000000000000
197710;-;-;49938,0000000000000000
197711;-;-;50059,0000000000000000
197712;-;-;46992,0000000000000000
197801;-;-;50636,0000000000000000
197802;-;-;50962,0000000000000000
197803;-;-;69456,0000000000000000
197804;-;-;72807,0000000000000000
197805;-;-;60188,0000000000000000
197806;-;-;58801,0000000000000000
197807;-;-;53716,0000000000000000
197808;-;-;41416,0000000000000000
197809;-;-;48016,0000000000000000
197810;-;-;51817,0000000000000000
197811;-;-;52226,0000000000000000
197812;-;-;43992,0000000000000000
197901;-;-;59374,0000000000000000
197902;-;-;43428,0000000000000000
197903;-;-;56098,0000000000000000
197904;-;-;51679,0000000000000000
197905;-;-;67079,0000000000000000
197906;-;-;55960,0000000000000000
197907;-;-;54722,0000000000000000
197908;-;-;43834,0000000000000000
197909;-;-;47005,0000000000000000
197910;-;-;44955,0000000000000000
197911;-;-;59949,0000000000000000
197912;-;-;36569,0000000000000000
198001;90983,0000000000000000;36444,0000000000000000;37905,0000000000000000
198002;99698,0000000000000000;46885,0000000000000000;45194,0000000000000000
198003;98674,0000000000000000;44943,0000000000000000;50833,0000000000000000
198004;91534,0000000000000000;48840,0000000000000000;47518,0000000000000000
198005;85012,0000000000000000;50507,0000000000000000;58254,0000000000000000
198006;92359,0000000000000000;44162,0000000000000000;44363,0000000000000000
198007;90536,0000000000000000;43141,0000000000000000;51821,0000000000000000
198008;21252,0000000000000000;14810,0000000000000000;35478,0000000000000000
198009;85025,0000000000000000;36426,0000000000000000;45684,0000000000000000
198010;101050,0000000000000000;49657,0000000000000000;59943,0000000000000000
198011;98789,0000000000000000;42932,0000000000000000;50357,0000000000000000
198012;74827,0000000000000000;32920,0000000000000000;46799,0000000000000000
198101;77312,0000000000000000;32563,0000000000000000;39502,0000000000000000
198102;76506,0000000000000000;32794,0000000000000000;39137,0000000000000000
198103;74841,0000000000000000;36761,0000000000000000;40881,0000000000000000
198104;68272,0000000000000000;36993,0000000000000000;47581,0000000000000000
198105;77157,0000000000000000;42011,0000000000000000;49368,0000000000000000
198106;77672,0000000000000000;49768,0000000000000000;44997,0000000000000000
198107;89091,0000000000000000;49493,0000000000000000;48687,0000000000000000
198108;13941,0000000000000000;12946,0000000000000000;30494,0000000000000000
198109;70349,0000000000000000;35306,0000000000000000;34648,0000000000000000
198110;84871,0000000000000000;41038,0000000000000000;42910,0000000000000000
198111;78027,0000000000000000;30651,0000000000000000;39933,0000000000000000
198112;64916,0000000000000000;31978,0000000000000000;47684,0000000000000000
198201;71255,0000000000000000;32506,0000000000000000;41873,0000000000000000
198202;77591,0000000000000000;39740,0000000000000000;43091,0000000000000000
198203;86461,0000000000000000;43602,0000000000000000;53729,0000000000000000
198204;75920,0000000000000000;42584,0000000000000000;44875,0000000000000000
198205;84586,0000000000000000;47449,0000000000000000;45669,0000000000000000
198206;86072,0000000000000000;48641,0000000000000000;46931,0000000000000000
198207;89852,0000000000000000;49566,0000000000000000;53236,0000000000000000
198208;21871,0000000000000000;18814,0000000000000000;30694,0000000000000000
198209;85265,0000000000000000;42913,0000000000000000;33788,0000000000000000
198210;73409,0000000000000000;35233,0000000000000000;45873,0000000000000000
198211;97967,0000000000000000;48854,0000000000000000;48932,0000000000000000
198212;75605,0000000000000000;45219,0000000000000000;47072,0000000000000000
198301;87827,0000000000000000;44321,0000000000000000;48602,0000000000000000
198302;96695,0000000000000000;51966,0000000000000000;42331,0000000000000000
198303;106348,0000000000000000;57109,0000000000000000;55121,0000000000000000
198304;97545,0000000000000000;54656,0000000000000000;45002,0000000000000000
198305;108929,0000000000000000;68547,0000000000000000;53608,0000000000000000
198306;106437,0000000000000000;67511,0000000000000000;45945,0000000000000000
198307;107909,0000000000000000;59187,0000000000000000;49753,0000000000000000
198308;26645,0000000000000000;19251,0000000000000000;36967,0000000000000000
198309;107949,0000000000000000;56142,0000000000000000;35288,0000000000000000
198310;106846,0000000000000000;56937,0000000000000000;46017,0000000000000000
198311;102165,0000000000000000;52860,0000000000000000;44190,0000000000000000
198312;86085,0000000000000000;51727,0000000000000000;47544,0000000000000000
198401;91070,0000000000000000;49523,0000000000000000;47643,0000000000000000
198402;96695,0000000000000000;51395,0000000000000000;39716,0000000000000000
198403;95112,0000000000000000;56788,0000000000000000;46422,0000000000000000
198404;94846,0000000000000000;60006,0000000000000000;50404,0000000000000000
198405;123893,0000000000000000;72573,0000000000000000;50643,0000000000000000
198406;105817,0000000000000000;66843,0000000000000000;41744,0000000000000000
198407;108568,0000000000000000;69110,0000000000000000;56412,0000000000000000
198408;34269,0000000000000000;23684,0000000000000000;36192,0000000000000000
198409;103880,0000000000000000;64154,0000000000000000;30697,0000000000000000
198410;117293,0000000000000000;69006,0000000000000000;43257,0000000000000000
198411;114915,0000000000000000;73319,0000000000000000;40266,0000000000000000
198412;90185,0000000000000000;57812,0000000000000000;38833,0000000000000000
198501;113163,0000000000000000;65689,0000000000000000;46744,0000000000000000
198502;104972,0000000000000000;71483,0000000000000000;37549,0000000000000000
198503;109616,0000000000000000;61641,0000000000000000;54185,0000000000000000
198504;104920,0000000000000000;64523,0000000000000000;51643,0000000000000000
198505;111319,0000000000000000;74569,0000000000000000;43781,0000000000000000
198506;98885,0000000000000000;60083,0000000000000000;42720,0000000000000000
198507;110014,0000000000000000;68787,0000000000000000;66489,0000000000000000
198508;24725,0000000000000000;20199,0000000000000000;33391,0000000000000000
198509;110682,0000000000000000;66498,0000000000000000;32927,0000000000000000
198510;130509,0000000000000000;84444,0000000000000000;57521,0000000000000000
198511;117716,0000000000000000;81283,0000000000000000;49047,0000000000000000
198512;94750,0000000000000000;69263,0000000000000000;59054,0000000000000000
198601;102176,0000000000000000;64791,0000000000000000;29324,0000000000000000
198602;111967,0000000000000000;67259,0000000000000000;41089,0000000000000000
198603;104993,0000000000000000;61900,0000000000000000;55732,0000000000000000
198604;122508,0000000000000000;74139,0000000000000000;52388,0000000000000000
198605;108486,0000000000000000;65120,0000000000000000;59408,0000000000000000
198606;113151,0000000000000000;69787,0000000000000000;67567,0000000000000000
198607;119199,0000000000000000;64906,0000000000000000;82716,0000000000000000
198608;22853,0000000000000000;16883,0000000000000000;44394,0000000000000000
198609;110622,0000000000000000;57858,0000000000000000;45734,0000000000000000
198610;127372,0000000000000000;63345,0000000000000000;71291,0000000000000000
198611;117489,0000000000000000;59774,0000000000000000;68449,0000000000000000
198612;104253,0000000000000000;51665,0000000000000000;70984,0000000000000000
198701;111430,0000000000000000;55957,0000000000000000;59510,0000000000000000
198702;119366,0000000000000000;57678,0000000000000000;68650,0000000000000000
198703;130698,0000000000000000;64931,0000000000000000;84380,0000000000000000
198704;119834,0000000000000000;57573,0000000000000000;86095,0000000000000000
198705;122153,0000000000000000;62630,0000000000000000;80228,0000000000000000
198706;127062,0000000000000000;64820,0000000000000000;79878,0000000000000000
198707;140439,0000000000000000;63814,0000000000000000;110543,0000000000000000
198708;22278,0000000000000000;12762,0000000000000000;59501,0000000000000000
198709;134965,0000000000000000;68539,0000000000000000;55764,0000000000000000
198710;131602,0000000000000000;68244,0000000000000000;78690,0000000000000000
198711;136135,0000000000000000;72788,0000000000000000;78445,0000000000000000
198712;106610,0000000000000000;56969,0000000000000000;86266,0000000000000000
198801;118452,0000000000000000;56661,0000000000000000;81012,0000000000000000
198802;123865,0000000000000000;67930,0000000000000000;81713,0000000000000000
198803;135121,0000000000000000;75149,0000000000000000;104756,0000000000000000
198804;129271,0000000000000000;69459,0000000000000000;95242,0000000000000000
198805;148643,0000000000000000;76793,0000000000000000;97714,0000000000000000
198806;142953,0000000000000000;70591,0000000000000000;102203,0000000000000000
198807;138411,0000000000000000;72925,0000000000000000;106479,0000000000000000
198808;26427,0000000000000000;13783,0000000000000000;76448,0000000000000000
198809;140686,0000000000000000;76604,0000000000000000;68378,0000000000000000
198810;137718,0000000000000000;70604,0000000000000000;85320,0000000000000000
198811;141514,0000000000000000;74020,0000000000000000;88928,0000000000000000
198812;114306,0000000000000000;62570,0000000000000000;95943,0000000000000000
198901;142567,0000000000000000;75551,0000000000000000;86803,0000000000000000
198902;132611,0000000000000000;73660,0000000000000000;97215,0000000000000000
198903;142523,0000000000000000;79508,0000000000000000;109422,0000000000000000
198904;144401,0000000000000000;77437,0000000000000000;94817,0000000000000000
198905;153416,0000000000000000;83564,0000000000000000;100780,0000000000000000
198906;157821,0000000000000000;91498,0000000000000000;117883,0000000000000000
198907;145175,0000000000000000;80787,0000000000000000;113877,0000000000000000
198908;36149,0000000000000000;22818,0000000000000000;75610,0000000000000000
198909;156724,0000000000000000;81809,0000000000000000;72586,0000000000000000
198910;157156,0000000000000000;87567,0000000000000000;94609,0000000000000000
198911;158938,0000000000000000;98893,0000000000000000;91543,0000000000000000
198912;110295,0000000000000000;72257,0000000000000000;93923,0000000000000000
199001;161890,0000000000000000;98128,0000000000000000;85485,0000000000000000
199002;148218,0000000000000000;88647,0000000000000000;84872,0000000000000000
199003;157996,0000000000000000;93729,0000000000000000;105810,0000000000000000
199004;138984,0000000000000000;87216,0000000000000000;91076,0000000000000000
199005;165684,0000000000000000;101648,0000000000000000;96563,0000000000000000
199006;162435,0000000000000000;105223,0000000000000000;93942,0000000000000000
199007;148965,0000000000000000;96326,0000000000000000;107857,0000000000000000
199008;30798,0000000000000000;19997,0000000000000000;75208,0000000000000000
199009;141609,0000000000000000;89003,0000000000000000;51847,0000000000000000
199010;147736,0000000000000000;90535,0000000000000000;77258,0000000000000000
199011;164824,0000000000000000;116572,0000000000000000;70702,0000000000000000
199012;110162,0000000000000000;78983,0000000000000000;66574,0000000000000000
199101;151257,0000000000000000;113585,0000000000000000;67999,0000000000000000
199102;136506,0000000000000000;103832,0000000000000000;70579,0000000000000000
199103;129351,0000000000000000;100127,0000000000000000;77765,0000000000000000
199104;152974,0000000000000000;112185,0000000000000000;82800,0000000000000000
199105;159807,0000000000000000;108630,0000000000000000;84266,0000000000000000
199106;162705,0000000000000000;117381,0000000000000000;84641,0000000000000000
199107;173519,0000000000000000;114079,0000000000000000;102484,0000000000000000
199108;35235,0000000000000000;39857,0000000000000000;60327,0000000000000000
199109;173423,0000000000000000;118697,0000000000000000;57349,0000000000000000
199110;197656,0000000000000000;133400,0000000000000000;81915,0000000000000000
199111;174489,0000000000000000;126661,0000000000000000;71270,0000000000000000
199112;126753,0000000000000000;96013,0000000000000000;72605,0000000000000000
199201;167684,0000000000000000;119942,0000000000000000;87948,0000000000000000
199202;168632,0000000000000000;111986,0000000000000000;87515,0000000000000000
199203;175615,0000000000000000;115843,0000000000000000;99159,0000000000000000
199204;163591,0000000000000000;105374,0000000000000000;94198,0000000000000000
199205;165635,0000000000000000;113629,0000000000000000;86356,0000000000000000
199206;180153,0000000000000000;120142,0000000000000000;96986,0000000000000000
199207;169640,0000000000000000;119321,0000000000000000;111299,0000000000000000
199208;21007,0000000000000000;19764,0000000000000000;51446,0000000000000000
199209;168685,0000000000000000;127799,0000000000000000;61318,0000000000000000
199210;156312,0000000000000000;117446,0000000000000000;74328,0000000000000000
199211;156221,0000000000000000;122843,0000000000000000;69780,0000000000000000
199212;99047,0000000000000000;80379,0000000000000000;88066,0000000000000000
199301;98249,0000000000000000;71999,0000000000000000;43143,0000000000000000
199302;119684,0000000000000000;93965,0000000000000000;60891,0000000000000000
199303;140535,0000000000000000;109051,0000000000000000;77092,0000000000000000
199304;130914,0000000000000000;89884,0000000000000000;67523,0000000000000000
199305;140956,0000000000000000;116770,0000000000000000;69437,0000000000000000
199306;167519,0000000000000000;131419,0000000000000000;77284,0000000000000000
199307;152506,0000000000000000;123497,0000000000000000;90287,0000000000000000
199308;16890,0000000000000000;16661,0000000000000000;49918,0000000000000000
199309;140683,0000000000000000;112090,0000000000000000;52187,0000000000000000
199310;133287,0000000000000000;107080,0000000000000000;58109,0000000000000000
199311;147769,0000000000000000;120336,0000000000000000;57910,0000000000000000
199312;116866,0000000000000000;89466,0000000000000000;71658,0000000000000000
199401;131902,0000000000000000;98841,0000000000000000;54977,0000000000000000
199402;155128,0000000000000000;122642,0000000000000000;64490,0000000000000000
199403;167370,0000000000000000;126624,0000000000000000;88819,0000000000000000
199404;164008,0000000000000000;129224,0000000000000000;72145,0000000000000000
199405;175707,0000000000000000;132171,0000000000000000;89907,0000000000000000
199406;175493,0000000000000000;119675,0000000000000000;98017,0000000000000000
199407;155588,0000000000000000;102323,0000000000000000;104812,0000000000000000
199408;23003,0000000000000000;20171,0000000000000000;65899,0000000000000000
199409;170272,0000000000000000;116337,0000000000000000;65201,0000000000000000
199410;179140,0000000000000000;138670,0000000000000000;71931,0000000000000000
199411;187415,0000000000000000;147002,0000000000000000;68761,0000000000000000
199412;141252,0000000000000000;104198,0000000000000000;93883,0000000000000000
199501;174814,0000000000000000;124902,0000000000000000;54513,0000000000000000
199502;173563,0000000000000000;135838,0000000000000000;66954,0000000000000000
199503;200236,0000000000000000;149084,0000000000000000;95812,0000000000000000
199504;152684,0000000000000000;114644,0000000000000000;74758,0000000000000000
199505;203058,0000000000000000;153754,0000000000000000;82887,0000000000000000
199506;199670,0000000000000000;153861,0000000000000000;104472,0000000000000000
199507;179429,0000000000000000;144780,0000000000000000;77071,0000000000000000
199508;29074,0000000000000000;23974,0000000000000000;53236,0000000000000000
199509;185247,0000000000000000;147816,0000000000000000;52302,0000000000000000
199510;167108,0000000000000000;140704,0000000000000000;63463,0000000000000000
199511;176304,0000000000000000;147624,0000000000000000;66334,0000000000000000
199512;117530,0000000000000000;100175,0000000000000000;78598,0000000000000000
199601;173629,0000000000000000;142613,0000000000000000;59913,0000000000000000
199602;170322,0000000000000000;132902,0000000000000000;77137,0000000000000000
199603;181990,0000000000000000;136600,0000000000000000;100551,0000000000000000
199604;174938,0000000000000000;138108,0000000000000000;79007,0000000000000000
199605;198179,0000000000000000;157922,0000000000000000;87914,0000000000000000
199606;180958,0000000000000000;141654,0000000000000000;83813,0000000000000000
199607;175693,0000000000000000;138335,0000000000000000;108708,0000000000000000
